id,title,author,publisher,publishedAt,isbn,image,category,,,,,,,,,,,,,,,,,
52,나는 공짜로 공부한다,살만 칸,알에이치코리아,,,,교육,,,,,,,,,,,,,,,,,
53,나는 심플하게 말한다,이동우,다산북스,,,,인문학,,,,,,,,,,,,,,,,,
54,나는 LINE개발자입니다,강윤신 외 11,한빛미디어,,,,기술 교양,,,,,,,,,,,,,,,,,
55,나만의 연설문을 써라,윤범기,필로소픽,,,,인문학,,,,,,,,,,,,,,,,,
56,나의 한국현대사 1959-2020,유시민,돌베개,,,,인문학,,,,,,,,,,,,,,,,,
57,내 글이 구린 건 맞춤법 때문이 아니다,개리 프로보스트,행복한북클럽,,,,인문학,,,,,,,,,,,,,,,,,
58,내 일을 바꾸는 업무 자동화,이태화,프리렉,,,,조직/실무,,,,,,,,,,,,,,,,,
59,네이키드 애자일,"장재웅, 상효이재",미래의창,,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
60,네트워크 속의 유령,"케빈 미트닉, 윌리엄 사이먼",에이콘출판사,,,,기술 교양,,,,,,,,,,,,,,,,,
61,넥스트 넷플릭스,한석봉,한빛미디어,,,,기술 교양,,,,,,,,,,,,,,,,,
62,넥스트 파이낸스,"이용재,임동민,한중섭,한대훈,차두휘,한서희,정호석,김윤호",스리체어스,,,,인문학,,,,,,,,,,,,,,,,,
63,넥스트 플랫폼,"프랭크 필러,송희경",스리체어스,,,,인문학,,,,,,,,,,,,,,,,,
64,넷플릭스의 클라우드 엔지니어링,정윤진,예문사,,,,클라우드,,,,,,,,,,,,,,,,,
65,노동 4.0,이명호,스리체어스,,,,인문학,,,,,,,,,,,,,,,,,
66,뇌를 자극하는 알고리즘,박상현,한빛미디어,,,,자료구조/알고리즘,,,,,,,,,,,,,,,,,
67,뇌를 자극하는 윈도우즈 시스템 프로그래밍,윤성우,한빛미디어,,,,운영체제/컴퓨터시스템,,,,,,,,,,,,,,,,,
68,뇌를 자극하는 프로그래밍 원리,한세경,한빛미디어,,,,운영체제/컴퓨터시스템,,,,,,,,,,,,,,,,,
69,뇌를 자극하는 C# 4.0 프로그래밍,박상현,한빛미디어,,,,프로그래밍 언어,,,,,,,,,,,,,,,,,
70,누구나 쉽게 배우는 미적분,히사시 요코타,Gbrain,,,,수학,,,,,,,,,,,,,,,,,
71,누구나 쉽게 배우는 코딩,브라이슨 페인,"no starch press, BJPUBLIC",,,,프로그래밍 언어,,,,,,,,,,,,,,,,,
72,누구나 할 수 있는 정진호의 비주얼씽킹,정진호,한빛미디어,,,,자기계발,,,,,,,,,,,,,,,,,
73,누워서 읽는 알고리즘,임백준,한빛미디어,,,,자료구조/알고리즘,,,,,,,,,,,,,,,,,
74,뉴노멀의 철학,김재인,동아시아,,,,인문학,,,,,,,,,,,,,,,,,
75,니체의 말,시라토리 하루히코,삼호미디어,,,,인문학,,,,,,,,,,,,,,,,,
76,다섯 가지 미래 교육 코드,김지영,소울하우스,,,,교육,,,,,,,,,,,,,,,,,
77,다시 쓸 수 있을까,레오드르 칼리파티데스,어크로스,,,,인문학,,,,,,,,,,,,,,,,,
78,대륙의 중국어 단어장 - 중급용(HSK 5급),"왕사원, 정지은, 주대성, 노수정, 뤄양, 윤혜진, 김세인",더쉬운 & 텍스트프래닛,,,,교육,,,,,,,,,,,,,,,,,
79,대륙의 중국어회화 레벨 1,"곡효여, 곡효운",텍스트플래닛,,,,교육,,,,,,,,,,,,,,,,,
80,대시보드 설계와 데이터 시각화,"스티브 웩슬러, 제프리 섀퍼, 앤디 코트그리브",책만,,,,디자인/자격증,,,,,,,,,,,,,,,,,
81,대용량 데이터베이스솔루션. 2,이화식,엔코아컨설팅,,,,데이터베이스,,,,,,,,,,,,,,,,,
